모범음식점,김태완의초밥좋은날,02  923 8628,"서울특별시 성북구 동소문로20길 28-4, (동소문동5가, 2층)"
모범음식점,정릉곤드레밥,,"서울특별시 성북구 보국문로18가길 5-13, (정릉동)"
모범음식점,만복식당,,"서울특별시 성북구 개운사길 34, 지1층 (안암동5가)"
모범음식점,치폴레옹(고려대점),,"서울특별시 성북구 인촌로24길 45, 2층 (안암동5가)"
모범음식점,원진노기순청국장,02  925 5733,"서울특별시 성북구 안암로9가길 94, 1층 (안암동5가)"
모범음식점,담소면옥,02  982 5070,"서울특별시 성북구 솔샘로 71, (정릉동,1층)"
모범음식점,담소면옥,02  982 5070,"서울특별시 성북구 솔샘로 71, (정릉동,1층)"
모범음식점,약산 전통육개장 흑염소 전문점,02  982 5070,"서울특별시 성북구 솔샘로 71, (정릉동,1층)"
모범음식점,약산 전통육개장 흑염소 전문점,02  982 5070,"서울특별시 성북구 솔샘로 71, (정릉동,1층)"
모범음식점,기찬 전통육개장 흑염소 전문점,02  982 5070,"서울특별시 성북구 솔샘로 71, (정릉동,1층)"
모범음식점,기찬 전통육개장 흑염소 전문점,02  982 5070,"서울특별시 성북구 솔샘로 71, (정릉동,1층)"
모범음식점,유자유 김치떡볶이,02  928 7754,"서울특별시 성북구 인촌로24길 48, 2층 (안암동5가)"
모범음식점,만복식당(성신여대점),02  923 8628,"서울특별시 성북구 동소문로20길 28-4, (동소문동5가, 2층)"
모범음식점,만복식당(성신여대점),02  923 8628,"서울특별시 성북구 동소문로20길 28-4, (동소문동5가, 2층)"
모범음식점,만복식당(성신여대점),02  923 8628,"서울특별시 성북구 동소문로20길 28-4, (동소문동5가, 2층)"
모범음식점,만복식당(성신여대점),02  923 8628,"서울특별시 성북구 동소문로20길 28-4, (동소문동5가, 2층)"
모범음식점,김태완의초밥좋은날,02  923 8628,"서울특별시 성북구 동소문로20길 28-4, (동소문동5가, 2층)"
모범음식점,김태완의초밥좋은날,02  923 8628,"서울특별시 성북구 동소문로20길 28-4, (동소문동5가, 2층)"
모범음식점,녹천,02 7478005,"서울특별시 성북구 동소문로2길 51, (동소문동2가)"
모범음식점,녹천,02 7478005,"서울특별시 성북구 동소문로2길 51, (동소문동2가)"
모범음식점,화끈한동태요리집,02 7478005,"서울특별시 성북구 동소문로2길 51, (동소문동2가)"
모범음식점,화끈한동태요리집,02 7478005,"서울특별시 성북구 동소문로2길 51, (동소문동2가)"
모범음식점,포앤시드니,02  929 9390,"서울특별시 성북구 보문로34길 77, 2층 (동선동1가)"
모범음식점,할매숯불닭갈비,02 9280210,"서울특별시 성북구 동소문로20길 37-5, 1층 (동선동1가)"
모범음식점,엉터리생고기,,"서울특별시 성북구 오패산로 98-8, (하월곡동,지상1층)"
모범음식점,엉터리생고기,,"서울특별시 성북구 오패산로 98-8, (하월곡동,지상1층)"
모범음식점,용주 한방삼계탕,,"서울특별시 성북구 오패산로 98-8, (하월곡동,지상1층)"
모범음식점,용주 한방삼계탕,,"서울특별시 성북구 오패산로 98-8, (하월곡동,지상1층)"
모범음식점,담소 소사골 순대 성북구청점,,"서울특별시 성북구 보문로 144, (보문동1가, 외 1필지 보문뉴타운)"
모범음식점,담소 소사골 순대 성북구청점,,"서울특별시 성북구 보문로 144, (보문동1가, 외 1필지 보문뉴타운)"
모범음식점,제주고깃집,,"서울특별시 성북구 보문로 144, (보문동1가, 외 1필지 보문뉴타운)"
모범음식점,제주고깃집,,"서울특별시 성북구 보문로 144, (보문동1가, 외 1필지 보문뉴타운)"
모범음식점,초밥좋은날 시즌투(Ⅱ),02  923 8628,"서울특별시 성북구 동소문로20길 28-4, (동소문동5가, 2층)"
모범음식점,초밥좋은날 시즌투(Ⅱ),02  923 8628,"서울특별시 성북구 동소문로20길 28-4, (동소문동5가, 2층)"
모범음식점,초밥좋은날 시즌투(Ⅱ),02  923 8628,"서울특별시 성북구 동소문로20길 28-4, (동소문동5가, 2층)"
모범음식점,초밥좋은날 시즌투(Ⅱ),02  923 8628,"서울특별시 성북구 동소문로20길 28-4, (동소문동5가, 2층)"
모범음식점,김태완의초밥좋은날,02  923 8628,"서울특별시 성북구 동소문로20길 28-4, (동소문동5가, 2층)"
모범음식점,신명가해물짬뽕,,"서울특별시 성북구 오패산로 13, (하월곡동)"
모범음식점,신명가해물짬뽕,,"서울특별시 성북구 오패산로 13, (하월곡동)"
모범음식점,명가해물짬뽕전문점,,"서울특별시 성북구 오패산로 13, (하월곡동)"
모범음식점,명가해물짬뽕전문점,,"서울특별시 성북구 오패산로 13, (하월곡동)"
모범음식점,스시엠(M),,"서울특별시 성북구 보문로 91, 201호 (보문동5가)"
모범음식점,스시엠(M),,"서울특별시 성북구 보문로 91, 201호 (보문동5가)"
모범음식점,스시엠(M),,"서울특별시 성북구 보문로 91, 201호 (보문동5가)"
모범음식점,간지,,"서울특별시 성북구 보문로 91, 201호 (보문동5가)"
모범음식점,간지,,"서울특별시 성북구 보문로 91, 201호 (보문동5가)"
모범음식점,간지,,"서울특별시 성북구 보문로 91, 201호 (보문동5가)"
모범음식점,요이사카나(よい魚),,"서울특별시 성북구 보문로 91, 201호 (보문동5가)"
모범음식점,요이사카나(よい魚),,"서울특별시 성북구 보문로 91, 201호 (보문동5가)"
모범음식점,요이사카나(よい魚),,"서울특별시 성북구 보문로 91, 201호 (보문동5가)"
모범음식점,중경당,,"서울특별시 성북구 창경궁로43길 30, 1층 (성북동1가)"
모범음식점,유정식당,02 9286256,"서울특별시 성북구 북악산로29길 21, (종암동)"
